date,area,area_type,population,cases,cumulative_cases,reported_cases,cumulative_reported_cases,probable_cases,cumulative_probable_cases,report_prob,agency,avg_7,avg_per_100,sum_7,sum_per_100
2021-09-18,Monterey,County,448732,23,47304,45,46466,1,2518,46,cdc,54.42857142857143,12.539383042607245,381,87.7756812982507
2021-09-19,Monterey,County,448732,38,47342,20,46486,3,2521,23,case,59.42857142857143,13.691294870668276,416,95.83906409467794
2021-09-19,Monterey,County,448732,38,47342,20,46486,3,2521,23,cdc,53.42857142857143,12.309000676995037,374,86.16300473896526
2021-09-20,Monterey,County,448732,55,47397,20,46506,3,2524,23,case,53.142857142857146,12.243177143962978,372,85.70224000774085
2021-09-20,Monterey,County,448732,55,47397,20,46506,3,2524,23,cdc,52.285714285714285,12.045706544866801,366,84.31994581406761
2021-09-21,Monterey,County,448732,42,47439,77,46583,18,2542,95,case,46.142857142857146,10.630500584677533,323,74.41350409274273
2021-09-21,Monterey,County,448732,42,47439,77,46583,18,2542,95,cdc,58.857142857142854,13.55964780460416,412,94.9175346322291
2021-09-22,Monterey,County,448732,68,47507,32,46615,12,2554,44,case,50,11.519118280610328,350,80.6338279642723
2021-09-22,Monterey,County,448732,68,47507,32,46615,12,2554,44,cdc,50.285714285714285,11.584941813642388,352,81.09459269549671
2021-09-23,Monterey,County,448732,51,47558,38,46653,7,2561,45,case,47.285714285714285,10.893794716805768,331,76.25656301764037
2021-09-23,Monterey,County,448732,51,47558,38,46653,7,2561,45,cdc,51.57142857142857,11.881147712286653,361,83.16803398600658
2021-09-24,Monterey,County,448732,49,47607,0,46653,11,2572,11,case,46.57142857142857,10.72923588422562,326,75.10465118957934
2021-09-24,Monterey,County,448732,49,47607,0,46653,11,2572,11,cdc,41,9.44567699010047,287,66.11973893070329
2021-09-25,Monterey,County,448732,21,47628,0,46653,8,2580,8,case,46.285714285714285,10.663412351193562,324,74.64388645835493
2021-09-25,Monterey,County,448732,21,47628,0,46653,8,2580,8,cdc,35.57142857142857,8.195029862491348,249,57.36520903743944
2021-09-26,Monterey,County,448732,30,47658,139,46792,2,2582,141,case,45.142857142857146,10.400118219065327,316,72.80082753345728
2021-09-26,Monterey,County,448732,30,47658,139,46792,2,2582,141,cdc,52.42857142857143,12.078618311382831,367,84.55032817967982
2021-09-27,Monterey,County,448732,47,47705,19,46811,13,2595,32,case,44,10.13682408693709,308,70.95776860855963
2021-09-27,Monterey,County,448732,47,47705,19,46811,13,2595,32,cdc,53.714285714285715,12.374824210027098,376,86.62376947018967
2021-09-28,Monterey,County,448732,43,47748,48,46859,11,2606,59,case,44.142857142857146,10.169735853453119,309,71.18815097417183
2021-09-28,Monterey,County,448732,43,47748,48,46859,11,2606,59,cdc,48.57142857142857,11.190000615450034,340,78.33000430815024
2021-09-29,Monterey,County,448732,37,47785,58,46917,9,2615,67,case,39.714285714285715,9.149471091456205,278,64.04629764019343
2021-09-29,Monterey,County,448732,37,47785,58,46917,9,2615,67,cdc,51.857142857142854,11.946971245318712,363,83.62879871723098
2021-09-30,Monterey,County,448732,38,47823,47,46964,14,2629,61,case,37.857142857142854,8.72161812674782,265,61.05132688723475
2021-09-30,Monterey,County,448732,38,47823,47,46964,14,2629,61,cdc,54.142857142857146,12.473559509575184,379,87.31491656702629
2021-10-01,Monterey,County,448732,30,47853,0,46964,11,2640,11,case,35.142857142857146,8.09629456294326,246,56.67406194060281
2021-10-01,Monterey,County,448732,30,47853,0,46964,11,2640,11,cdc,54.142857142857146,12.473559509575184,379,87.31491656702629
2021-10-02,Monterey,County,448732,21,47874,0,46964,3,2643,3,case,35.142857142857146,8.09629456294326,246,56.67406194060281
2021-10-02,Monterey,County,448732,21,47874,0,46964,3,2643,3,cdc,53.42857142857143,12.309000676995037,374,86.16300473896526
2021-10-03,Monterey,County,448732,55,47929,85,47049,1,2644,86,case,38.714285714285715,8.919088725843999,271,62.433621080907976
2021-10-03,Monterey,County,448732,55,47929,85,47049,1,2644,86,cdc,45.57142857142857,10.498853518613412,319,73.4919746302939
2021-10-04,Monterey,County,448732,25,47954,9,47058,11,2655,20,case,35.57142857142857,8.195029862491348,249,57.36520903743944
2021-10-04,Monterey,County,448732,25,47954,9,47058,11,2655,20,cdc,43.857142857142854,10.10391232042106,307,70.72738624294742
2021-10-05,Monterey,County,448732,21,47975,29,47087,7,2662,36,case,32.42857142857143,7.470970999138699,227,52.29679699397089
2021-10-05,Monterey,County,448732,21,47975,29,47087,7,2662,36,cdc,40.57142857142857,9.34694169055238,284,65.42859183386668
2021-10-06,Monterey,County,448732,17,47992,49,47136,10,2672,59,case,29.571428571428573,6.812735668818108,207,47.68914968172676
2021-10-06,Monterey,County,448732,17,47992,49,47136,10,2672,59,cdc,39.42857142857143,9.083647558424145,276,63.585532908969014
2021-10-07,Monterey,County,448732,33,48025,32,47168,5,2677,37,case,28.857142857142858,6.648176836237961,202,46.53723785366573
2021-10-07,Monterey,County,448732,33,48025,32,47168,5,2677,37,cdc,36,8.293765162039437,252,58.05635613427606
2021-10-08,Monterey,County,448732,25,48050,0,47168,9,2686,9,case,28.142857142857142,6.4836180036578135,197,45.3853260256047
2021-10-08,Monterey,County,448732,25,48050,0,47168,9,2686,9,cdc,35.714285714285715,8.227941629007379,250,57.59559140305165
2021-10-09,Monterey,County,448732,27,48077,0,47168,2,2688,2,case,29,6.681088602753991,203,46.76762021927794
2021-10-09,Monterey,County,448732,27,48077,0,47168,2,2688,2,cdc,35.57142857142857,8.195029862491348,249,57.36520903743944
2021-10-10,Monterey,County,448732,12,48089,60,47228,3,2691,63,case,22.857142857142858,5.265882642564722,160,36.86117849795305
2021-10-10,Monterey,County,448732,12,48089,60,47228,3,2691,63,cdc,32.285714285714285,7.4380592326226695,226,52.06641462835869
